id,object_id,object_guid,change_id,number,operation_type_id,update_date,start_date,end_date,is_actual,is_active,raw_attributes
174114,102354797,2f9b4084-ab64-427d-a900-192a74ca99f4,215582475,96,10,2021-09-06,2021-09-06,2079-06-06,t,t,"{""ID"": ""174114"", ""NEXTID"": ""0"", ""NUMBER"": ""96"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215582475"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""102354797"", ""STARTDATE"": ""2021-09-06"", ""OBJECTGUID"": ""2f9b4084-ab64-427d-a900-192a74ca99f4"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2021-09-06""}"
174792,102356596,9e9a9bc2-27f3-4a00-9c9d-b5b39209c977,215585738,27,10,2021-09-06,2021-09-06,2079-06-06,t,t,"{""ID"": ""174792"", ""NEXTID"": ""0"", ""NUMBER"": ""27"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215585738"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""102356596"", ""STARTDATE"": ""2021-09-06"", ""OBJECTGUID"": ""9e9a9bc2-27f3-4a00-9c9d-b5b39209c977"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2021-09-06""}"
174793,102356597,ece60166-09b6-4a9e-ad5c-28f44c29e815,215585739,28,10,2021-09-06,2021-09-06,2079-06-06,t,t,"{""ID"": ""174793"", ""NEXTID"": ""0"", ""NUMBER"": ""28"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215585739"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""102356597"", ""STARTDATE"": ""2021-09-06"", ""OBJECTGUID"": ""ece60166-09b6-4a9e-ad5c-28f44c29e815"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2021-09-06""}"
321503,104973484,aeaaa409-e79a-4e2e-b314-8fc78c3f318e,286617401,10,10,2022-07-13,2022-07-13,2079-06-06,t,t,"{""ID"": ""321503"", ""NEXTID"": ""0"", ""NUMBER"": ""10"", ""PREVID"": ""0"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""286617401"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""104973484"", ""STARTDATE"": ""2022-07-13"", ""OBJECTGUID"": ""aeaaa409-e79a-4e2e-b314-8fc78c3f318e"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2022-07-13""}"
