id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
752231129,102354797,215582475,0,8,77:01:0001046:3550,2021-09-06,2021-09-06,2079-06-06,"{""ID"": ""752231129"", ""VALUE"": ""77:01:0001046:3550"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215582475"", ""OBJECTID"": ""102354797"", ""STARTDATE"": ""2021-09-06"", ""UPDATEDATE"": ""2021-09-06"", ""CHANGEIDEND"": ""0""}"
752240212,102356596,215585738,0,8,77:01:0001058:3250,2021-09-06,2021-09-06,2079-06-06,"{""ID"": ""752240212"", ""VALUE"": ""77:01:0001058:3250"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215585738"", ""OBJECTID"": ""102356596"", ""STARTDATE"": ""2021-09-06"", ""UPDATEDATE"": ""2021-09-06"", ""CHANGEIDEND"": ""0""}"
752240213,102356597,215585739,0,8,77:01:0001058:3251,2021-09-06,2021-09-06,2079-06-06,"{""ID"": ""752240213"", ""VALUE"": ""77:01:0001058:3251"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""215585739"", ""OBJECTID"": ""102356597"", ""STARTDATE"": ""2021-09-06"", ""UPDATEDATE"": ""2021-09-06"", ""CHANGEIDEND"": ""0""}"
843516437,104973484,286617401,0,8,77:01:0001046:3160,2022-07-13,2022-07-13,2079-06-06,"{""ID"": ""843516437"", ""VALUE"": ""77:01:0001046:3160"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""286617401"", ""OBJECTID"": ""104973484"", ""STARTDATE"": ""2022-07-13"", ""UPDATEDATE"": ""2022-07-13"", ""CHANGEIDEND"": ""0""}"
