id,object_id,object_guid,change_id,number,operation_type_id,update_date,start_date,end_date,is_actual,is_active,raw_attributes
1945597,86491480,27a443c9-f9ca-489e-aa84-85730c019005,128290015,"влд. 26, влд. 26, стр. 2, влд. 24",10,2022-09-30,2017-01-20,2022-09-30,f,f,"{""ID"": ""1945597"", ""NEXTID"": ""15899728"", ""NUMBER"": ""влд. 26, влд. 26, стр. 2, влд. 24"", ""ENDDATE"": ""2022-09-30"", ""CHANGEID"": ""128290015"", ""ISACTIVE"": ""0"", ""ISACTUAL"": ""0"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2017-01-20"", ""OBJECTGUID"": ""27a443c9-f9ca-489e-aa84-85730c019005"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2022-09-30""}"
15899728,86491480,27a443c9-f9ca-489e-aa84-85730c019005,299264240,24,20,2022-09-30,2022-09-30,2079-06-06,t,t,"{""ID"": ""15899728"", ""NUMBER"": ""24"", ""PREVID"": ""1945597"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""299264240"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""86491480"", ""STARTDATE"": ""2022-09-30"", ""OBJECTGUID"": ""27a443c9-f9ca-489e-aa84-85730c019005"", ""OPERTYPEID"": ""20"", ""UPDATEDATE"": ""2022-09-30""}"
3393901,87934231,d0aefc40-947a-409b-bdf3-066549c60f16,130134412,вл. 28/1 стр. 2,10,2022-12-27,2019-02-14,2022-12-27,f,f,"{""ID"": ""3393901"", ""NEXTID"": ""66170894"", ""NUMBER"": ""вл. 28/1 стр. 2"", ""ENDDATE"": ""2022-12-27"", ""CHANGEID"": ""130134412"", ""ISACTIVE"": ""0"", ""ISACTUAL"": ""0"", ""OBJECTID"": ""87934231"", ""STARTDATE"": ""2019-02-14"", ""OBJECTGUID"": ""d0aefc40-947a-409b-bdf3-066549c60f16"", ""OPERTYPEID"": ""10"", ""UPDATEDATE"": ""2022-12-27""}"
66170894,87934231,d0aefc40-947a-409b-bdf3-066549c60f16,489507398,28/1/2,20,2022-12-27,2022-12-27,2079-06-06,t,t,"{""ID"": ""66170894"", ""NUMBER"": ""28/1/2"", ""PREVID"": ""3393901"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""489507398"", ""ISACTIVE"": ""1"", ""ISACTUAL"": ""1"", ""OBJECTID"": ""87934231"", ""STARTDATE"": ""2022-12-27"", ""OBJECTGUID"": ""d0aefc40-947a-409b-bdf3-066549c60f16"", ""OPERTYPEID"": ""20"", ""UPDATEDATE"": ""2022-12-27""}"
